subwayId,statnNm,arvlMsg2,arvlMsg3,arvlCd,barvlDt,bstatnNm,updnLine,lstcarAt,status,code,message,statnId,updnLine_realtime,status_realtime,code_realtime,message_realtime
1호선,남영,남영 도착,남영,도착,0,광운대,상행,0,200,INFO-000,정상 처리되었습니다.,1001000134,0,200,INFO-000,정상 처리되었습니다.
1호선,관악,관악 진입,관악,진입,0,광운대,상행,0,200,INFO-000,정상 처리되었습니다.,1001080146,0,200,INFO-000,정상 처리되었습니다.
1호선,금정,금정 도착,금정,도착,0,광운대,상행,0,200,INFO-000,정상 처리되었습니다.,1001080149,0,200,INFO-000,정상 처리되었습니다.
1호선,천안,천안 도착,천안,도착,0,광운대,상행,0,200,INFO-000,정상 처리되었습니다.,1001080169,1,200,INFO-000,정상 처리되었습니다.
1호선,신설동,신설동 도착,신설동,도착,0,광운대,상행,0,200,INFO-000,정상 처리되었습니다.,1001000126,1,200,INFO-000,정상 처리되었습니다.
1호선,망월사,[4]번째 전역 (창동),창동,운행중,0,의정부,상행,0,200,INFO-000,정상 처리되었습니다.,1001000112,0,200,INFO-000,정상 처리되었습니다.
1호선,청량리,[4]번째 전역 (동대문),동대문,운행중,0,의정부,상행,0,200,INFO-000,정상 처리되었습니다.,1001000124,1,200,INFO-000,정상 처리되었습니다.
1호선,청량리,6분 5초 후 (동대문),동대문,운행중,365,의정부,상행,0,200,INFO-000,정상 처리되었습니다.,1001000124,1,200,INFO-000,정상 처리되었습니다.
1호선,녹양,[4]번째 전역 (망월사),망월사,운행중,0,연천,상행,0,200,INFO-000,정상 처리되었습니다.,1001000108,1,200,INFO-000,정상 처리되었습니다.
1호선,용산,[4]번째 전역 (영등포),영등포,운행중,0,연천,상행,0,200,INFO-000,정상 처리되었습니다.,1001000135,1,200,INFO-000,정상 처리되었습니다.
1호선,광운대,[4]번째 전역 (회기),회기,운행중,0,양주,상행,0,200,INFO-000,정상 처리되었습니다.,1001000119,1,200,INFO-000,정상 처리되었습니다.
1호선,역곡,[4]번째 전역 (송내),송내,운행중,0,양주,상행,0,200,INFO-000,정상 처리되었습니다.,1001000146,1,200,INFO-000,정상 처리되었습니다.
1호선,동대문,7분 56초 후 (시청),시청,운행중,476,양주,상행,0,200,INFO-000,정상 처리되었습니다.,1001000128,1,200,INFO-000,정상 처리되었습니다.
1호선,인천,[23]번째 전역 (용산),용산,운행중,0,동인천,하행,0,200,INFO-000,정상 처리되었습니다.,1001000161,0,200,INFO-000,정상 처리되었습니다.
1호선,천안,[22]번째 전역 (안양),안양,운행중,0,천안 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001080169,1,200,INFO-000,정상 처리되었습니다.
